final_proposed_protoform	ROMANIAN	FRENCH	ITALIAN	SPANISH	PORTUGUESE	LATIN-CORRECT
ɣoʒ	-	kɔ̃ʒ	kondʒo	koŋxjo	koŋʒjʊ	kɔŋɡɪʊm
ɣoŋɡɾeɣaɾ	-	kɔ̃ɡʁeʒe	koŋɡreɡare	koŋɡɾeɣaɾ	kuŋɡɹɨɡaɹ	kɔŋɡrɛɡarɛ
ɣoɡʁy	-	kɔ̃ɡʁy	-	koŋɡɾuo	-	kɔŋɡrʊʊm
ɨngonʒuɾa	ɨnkonʒuɾa	-	-	-	-	kɔŋɡyrarɛ
ɣoʒyɡe	-	kɔ̃ʒyɡe	konjuɡare	koŋxuɣaɾ	kuŋʒuɡaɹ	kɔnɪʊɡarɛ
ɣondʒundʒere	-	kɔ̃ʒwɛ̃dʁ	kondʒundʒere	-	kuŋʒũŋʒiɹ	kɔnɪʊŋɡɛrɛ
ɣondʒuratsione	-	kɔ̃ʒyʁasjɔ̃	kondʒuratsione	koŋxuɾaθjon	kuŋʒuɾɐsɐ̃ʊ̃	kɔnɪuratɪonɛm
ɣondʒuratore	-	-	kondʒuratore	-	-	kɔnɪuratorɛm
ɣondʒurado	-	-	kondʒurato	-	-	kɔnɪuratʊm
ɣondʒurare	-	kɔ̃ʒyʁe	kondʒurare	koŋxuɾaɾ	kuŋʒuɾaɹ	kɔnɪurarɛ
ɣonive	-	kɔnive	-	-	-	koniwerɛ
ɣoʒyɡezo	-	kɔ̃ʒyɡɛzɔ̃	konjuɡatsione	koŋxuɣaθjon	kuŋʒuɡɐsɐ̃ʊ̃	kɔnjʊɡatɪonɛm
ɣonessione	-	kɔnɛksjɔ̃	konnessione	koneksjon	kunɨksɐ̃ʊ̃	kɔnnɛksɪonɛm
ɣonobeo	-	kanope	konopɛo	-	kunupeʊ	konopeʊm
ɣonɣeɾiɾ	kutʃeɾʲi	kɔ̃keʁiʁ	-	konkeɾiɾ	-	kɔŋkwirɛrɛ
ɣosɑɡinide	-	kɔ̃sɑ̃ɡinite	-	konsaŋɡiniðad	kuŋsɐ̃ŋɡwinidadɨ	konsaŋɡwɪnɪtatɛm
ɣonʃtsjntsə	konʃtijntsə	kɔ̃sjɑ̃s	koʃɛntsa	konsθjɛnθja	kuŋsjeɪŋsjɐ	konskɪɛntɪam
ɣonʃo	-	-	kɔnʃo	-	koŋsiʊ	konskɪʊm
ɣosɣʁi	-	kɔ̃skʁi	-	-	-	konskriptʊm
ɣoseɣʁasjo	-	kɔ̃sekʁasjɔ̃	konsakratsione	-	-	konsɛkratɪonɛm
ɣonsentsre	konsimtsʲ	kɔ̃sɑ̃tiʁ	konsentire	konsentiɾ	kuŋseɪŋtiɹ	konsɛntirɛ
ɣonseɣventsə	konsekventsə	kɔ̃sekɑ̃s	konseɡwɛntsa	konsekwɛnθja	kuŋsɨkweɪŋsjɐ	konsɛkwɛntɪam
ɣonseɡwire	-	-	konseɡwire	konseɣiɾ	kuŋsɨɡiɹ	konsɛkwi
ɣonservatsione	-	kɔ̃sɛʁvasjɔ̃	konservatsione	konseɾβaθjon	kuŋsɨɾəvɐsɐ̃ʊ̃	konsɛrwatɪonɛm
konserva	konserva	kɔ̃sɛʁve	konservare	konseɾβaɾ	kuŋsɨɾəvaɹ	konsɛrwarɛ
ɣosjeʁʒ	-	kɔ̃sjɛʁʒ	-	-	-	konsɛrwʊm
ɣosideʁasjo	-	kɔ̃sideʁasjɔ̃	konsideratsione	konsiðeɾaθjon	kuŋsidɨɾɐsɐ̃ʊ̃	konsidɛratɪonɛm
ɣosiɲasjo	-	kɔ̃siɲasjɔ̃	-	konsiɡnaθjon	kuŋsiɡnɐsɐ̃ʊ̃	konsɪŋnatɪonɛm
ɣonseɲare	-	kɔ̃siɲe	konseɲare	konsiɡnaɾ	kuŋsiɡnaɹ	konsɪŋnarɛ
konsiʎo	konsiliw	kɔ̃sɛj	konsiʎo	konsexo	kuŋseʎʊ	konsɪlɪʊm
ɣosiste	konsista	kɔ̃siste	konsistere	konsistiɾ	kuŋsiʃtiɹ	konsɪstɛrɛ
ɣuze	-	kuzɛ̃	konsobrino	-	kuŋsubɹiɲʊ	konsobrinʊm
ɣosolasjo	-	kɔ̃solasjɔ̃	konsolatsione	konsolaθjon	kuŋsulɐsɐ̃ʊ̃	konsolatɪonɛm
ɣosud	-	kɔ̃sud	konsɔlida	-	-	konsɔlɪdam
ɣosolidasjo	-	kɔ̃solidasjɔ̃	konsolidatsione	konsoliðaθjo	kuŋsulidɐsɐ̃ʊ̃	konsɔlɪdatɪonɛm
konsolidare	konsolida	kɔ̃solide	konsolidare	konsoliðaɾ	kuŋsulidaɹ	konsɔlɪdarɛ
ɣosole	-	kɔ̃sole	-	konsolaɾ	kuŋsulaɹ	konsolari
ɣosone	-	kɔ̃sone	konsonare	konsonaɾ	kuŋsuaɹ	konsɔnarɛ
ɣosoʁ	-	kɔ̃sɔʁ	konsɔrte	konsoɾte	kuŋsɔɾətɨ	konsɔrtɛm
skwipa	skwipa	-	-	eskupiɾ	kuʃpiɹ	konspʊɛrɛ
ɣuŋsbuɾəɣaɹ	-	-	-	-	kuŋspuɾəkaɹ	konspʊrkarɛ
ɣonstanθja	-	kɔ̃stɑ̃s	-	konstanθja	-	konstantɪam
ɣostitye	-	kɔ̃stitye	kostituire	konstitwiɾ	kuŋstituiɹ	konstɪtʊɛrɛ
ɣoststutsione	-	kɔ̃stitysjɔ̃	kostitutsione	konstituθjon	kuŋstituɪsɐ̃ʊ̃	konstɪtutɪonɛm
ɣoststytsf	-	kɔ̃stitytif	-	konstitutiβo	kuŋstitutivʊ	kɔnstɪtutɪwʊm
ɣostrittore	-	kɔ̃stʁiktœʁ	kostrittore	konstɾiktoɾ	-	konstrɪktorɛm
ɣudym	kostum	kutym	kostume	kostumbɾe	kuʃtumɨ	konsʊetudɪnɛm
ɣonsultatsione	-	kɔ̃syltasjɔ̃	konsultatsione	konsultaθjon	kuŋsuwtɐsɐ̃ʊ̃	konsʊltatɪonɛm
ɣonsatsione	-	kɔ̃sɔmasjɔ̃	konsumatsione	konsumaθjon	kuŋsumɐsɐ̃ʊ̃	konsʊmmatɪonɛm
ɣuŋzaɹ	-	kɔ̃sɔme	-	konsumaɾ	kuŋsumaɹ	konsʊmmarɛ
ɣonsere	-	kɔ̃syme	konsumere	konsumiɾ	kuŋsumiɹ	konsumɛrɛ
ɣosobsjo	-	kɔ̃sɔ̃psjɔ̃	konsuntsione	konsunθjon	kuŋsũŋsɐ̃ʊ̃	konsumptɪonɛm
ɣontaminaθjon	-	kɔ̃taminasjɔ̃	kontaminatsione	kontaminaθjon	kuŋtɐminɐsɐ̃ʊ̃	kɔntamɪnatɪonɛm
ɣondembreare	-	-	kontemperare	-	-	kɔntɛmpɛrarɛ
ɣondemblare	-	kɔ̃tɑ̃ple	kontemplare	kontemplaɾ	-	kɔntɛmplari
ɣondendere	-	-	kontɛndere	kontendeɾ	kuŋteɪŋdeɹ	kɔntɛndɛrɛ
ɣondenθjon	kontentsjune	kɔ̃tɑ̃sjɔ̃	kontentsione	kontenθjon	kuŋteɪŋsɐ̃ʊ̃	kɔntɛntɪonɛm
ɣontentsjos	kontentsjos	kɔ̃tɑ̃sjø	kontentsiozo	kontenθjoso	kuŋteɪŋsiozʊ	kɔntɛntɪosʊm
ɣoðɑ	kontent	kɔ̃tɑ̃	kontɛnto	kontɛnto	kuŋteɪŋtɨ	kɔntɛntʊm
ɣoðʁiʁ	-	kɔ̃tʁiʁ	-	-	-	kɔntɛrɛrɛ
ɣoteste	-	kɔ̃tɛste	kontestare	kontestaɾ	kuŋtɨʃtaɹ	kɔntɛstari
konʤɡnaθjon	-	-	-	kontiɡnaθjon	-	kɔntɪŋnatɪonɛm
ɣonʤnwaθjon	-	kɔ̃tinyasjɔ̃	kontinuatsione	kontinwaθjon	kuŋtinuɐsɐ̃ʊ̃	kɔntɪnʊatɪonɛm
konʤnuo	kontinwu	kɔ̃tiny	kontinuo	kontinwo	kuŋtinuʊ	kɔntɪnʊʊm
kuŋziunaɹ	-	-	-	-	kuŋsiunaɹ	kontɪonari
ɣontortʃere	-	-	kontɔrtʃere	kontoɾθeɾ	kuŋtuɾəseɹ	kɔntɔrkwerɛ
ɣontorto	-	-	kontɔrto	-	-	kɔntɔrtʊm
ɣoðʁaʤððœʁ	-	kɔ̃tʁadiktœʁ	kontradditore	kontɾaðiktoɾ	kuŋtɹɐditoɹ	kɔntradɪktorɛm
ɣontraɣta	kontrakta	kɔ̃tʁakte	kontrarre	kontɾaeɾ	kuŋtɹɐiɹ	kɔntrahɛrɛ
ɣondɾaβeniɾ	-	kɔ̃tʁəvniʁ	-	kontɾaβeniɾ	kuŋtɹɐviɹ	kɔntrawɛnirɛ
gutrejeɾa	kutrejeɾa	-	-	kontɾiβulaɾ	-	kɔntrɪbʊlarɛ
ɣoðʁibye	-	kɔ̃tʁibye	kontribuire	kontɾiβwiɾ	kuŋtɹibuiɹ	kɔntrɪbʊɛrɛ
ɣontɾistaɾ	-	kɔ̃tʁiste	kontristare	kontɾistaɾ	kuŋtɹiʃtaɹ	kɔntristarɛ
ɣoðʁizjo	-	kɔ̃tʁisjɔ̃	kontritsione	-	kuŋtɹisɐ̃ʊ̃	kɔntritɪonɛm
kontrito	-	kɔ̃tʁi	kontrito	-	-	kɔntritʊm
ɣontroversi	kontroversə	kɔ̃tʁovɛʁs	kontrovɛrsia	kontɾoβeɾsja	kuŋtɹuvɛɾəsjɐ	kɔntrowɛrsɪam
ɣuŋðɹuveɾəsʊ	-	-	-	-	kuŋtɹuvɛɾəsʊ	kɔntrowɛrsʊm
ɣuŋtubɨɾənɑl	-	-	-	-	kuŋtubɨɾənɑl	kɔntʊbɛrnalɛm
ɣuŋðubeɾənjʊ	-	-	-	-	kuŋtubɛɾənjʊ	kɔntʊbɛrnɪʊm
ɣontaθ	-	-	kontumatʃe	kontumaθ	kuŋtumaʃ	kɔntʊmakɛm
ɣondelja	-	-	kontumɛlia	kontumelja	-	kɔntʊmelɪam
ɣondeliozo	-	-	kontumeliozo	-	-	kɔntʊmelɪosʊm
ɣuŋðuɾəβɐzɐʊ	-	-	konturbatsione	kontuɾβaθjon	kuŋtuɾəbɐsɐ̃ʊ̃	kɔntʊrbatɪonɛm
ɣuŋðuɾəbaɹ	-	-	konturbare	kontuɾβaɾ	kuŋtuɾəbaɹ	kɔntʊrbarɛ
ɣonubio	-	-	konnubio	-	-	konubɪʊm
ɣono	kon	kɔ̃n	kono	kono	konɨ	konʊm
ɣuŋvɨliɹ	-	-	-	-	kuŋvɨliɹ	kɔnwɛllɛrɛ
ɣonvenjentsa	konvenjentsə	kɔ̃vnɑ̃s	konvenjɛntsa	kombenjɛnθja	kuŋvɨnjeɪŋsjɐ	kɔnwɛnɪɛntɪam
ɣonvenire	konvenʲ	kɔ̃vniʁ	konvenire	kombeniɾ	-	kɔnwɛnirɛ
ɣonvertire	-	kɔ̃vɛʁtiʁ	konvertire	kombeɾtiɾ	kuŋvɨɾəteɹ	kɔnwɛrtɛrɛ
ɣonvess	konveks	kɔ̃vɛks	konvɛsso	kombekso	kuŋvɛksʊ	kɔnwɛksʊm
ɣuŋvizjʊ	-	-	-	kombiθjo	kuŋvisjʊ	kɔnwikɪʊm
ɣonviɣtsjune	konviktsjune	kɔ̃viksjɔ̃	konvintsione	kombikθjon	kuŋvisɐ̃ʊ̃	kɔnwiktɪonɛm
ɣoviv	-	kɔ̃viv	-	-	-	kɔnwiwam
ɣonvoɣatsione	-	kɔ̃vokasjɔ̃	konvokatsione	kombokaθjon	kuŋvukɐsɐ̃ʊ̃	kɔnwɔkatɪonɛm
ɣomboɣaɾ	konvoka	kɔ̃voke	konvokare	kombokaɾ	kuŋvukaɹ	kɔnwɔkarɛ
ɣovole	-	kɔ̃vole	-	-	-	kɔnwɔlarɛ
ɣonvolðʒere	-	-	konvoldʒere	-	-	kɔnwɔlwɛrɛ
ɣoobeɾaθjon	-	kɔopeʁasjɔ̃	kooperatsione	koopeɾaθjon	kuupeɾɐsɐ̃ʊ̃	kɔɔpɛratɪonɛm
ɣuveʁðyʁ	-	kuvɛʁtyʁ	kopertura	koβeɾtuɾa	kubɨɾətuɾɐ	kɔɔpɛrturam
ɣootasjo	-	kɔɔptasjɔ̃	-	-	-	kɔɔptatɪonɛm
ɣweβano	-	-	-	kweβano	-	kɔpʰɪnʊm
ɣobja	-	-	-	kopja	-	kopɪam
ɣobiozo	-	kopjø	kopiozo	kopjoso	-	kopɪosʊm
ɣoβɹɐ	kuplə	kupl	kɔppia	koβɾa	kɔbɹɐ	kopʊlam
ɣubulɐzɐʊ	-	-	kopulatsione	kopulaθjon	kupulɐsɐ̃ʊ̃	kopʊlatɪonɛm
ɣubla	kupla	kuple	kopulare	kopulaɾ	kupulaɹ	kopʊlarɛ
ɣudʃina	-	kyizin	kutʃina	koθina	kuziɲɐ	kɔkwinam
ɣuziɲeɪɾʊ	-	kyizinje	kutʃinario	koθineɾo	kuziɲeɪɾʊ	kɔkwinarɪʊm
ɣoθinaɾ	-	kyizine	kutʃinare	koθinaɾ	kuziɲaɹ	kɔkwinarɛ
ɣuoɣo	-	kɔk	kuɔko	-	-	kɔkwʊm
ɣuore	kor	kœʁ	kuɔre	kweɾ	koɹ	kɔr
ɣorbeʎo	-	kɔʁbɛj	korbɛllo	-	kuɾəbeʎɐ	kɔrbɛm
ɣoʁjas	-	koʁjas	koriatʃeo	koɾjaθeo	kuɾiasiʊ	kɔrɪakɛʊm
ɣoʁjɑðʁ	-	koʁjɑ̃dʁ	koriandolo	koɾjandɾo	kueɪŋtɹʊ	kɔrɪandrʊm
ɣyiʁ	-	kyiʁ	kuɔjo	kweɾo	kowɾʊ	kɔrɪʊm
ɣoɾneo	-	-	kɔrnio	koɾneo	kɔɾəniʊ	kɔrnɛʊm
ɣoronide	-	koʁoni	korɔnide	-	-	kɔronɪdɛm
ɣorbɣolo	-	-	korpuskolo	-	-	kɔrpʊskʊlʊm
ɣoʁeɣðœʁ	koɾektor	koʁɛktœʁ	korrettore	korektoɾ	kuʁɨtoɹ	kɔrrɛktorɛm
ɣuɾea	kuɾea	kuʁwa	korredʒʒa	korea	kuʁeɪɐ	kɔrrɪɡɪam
ɣorroboramento	-	-	korroboramento	-	-	kɔrrobɔramɛntʊm
ɣorrodere	-	koʁode	korrɔdere	koroeɾ	kuʁueɹ	kɔrrodɛrɛ
ɣoɾozjune	koɾozjune	koʁozjɔ̃	korrozione	korosjon	kuʁuzɐ̃ʊ̃	kɔrrosɪonɛm
ɣʁule	-	kʁule	krollare	-	-	kɔrrʊɛrɛ
ɣoɾ	kurte	kɔʁ	korte	koɾte	kɔɾətɨ	kortɛm
korso	-	kɔʁs	korso	koɾso	koɾəsʊ	kɔrsʊm
ɣorʤðʃe	-	-	kɔrtitʃe	koɾtʃo	kɔɾətisɨ	kɔrtɪkɛm
ɣorrɣatsione	-	-	korruskatsione	-	-	kɔrʊskatɪonɛm
ɣorrɣare	-	-	korruskare	koɾuskaɾ	-	kɔrʊskarɛ
ɣorrɣo	-	-	korrusko	-	-	kɔrʊskʊm
ɣorvino	-	kɔʁvin	korvino	koɾβino	kuɾəvinʊ	kɔrwinʊm
ɣode	kute	kø	kɔte	koðon	-	kotɛm
ɣos	koʃ	-	kɔsso	koso	-	kɔssʊm
ɣostato	-	kote	kostato	kostaðo	kuʃtadʊ	kɔstatʊm
ɣwoʤðjano	kotidjan	kotidjɛ̃	kwotidjano	kotiðjano	kutidiɐ̃nʊ	kɔtidɪanʊm
ɣotornitʃe	potɨrnike	-	kotɔrnitʃe	koðoɾniθ	kuduɾəniʃ	kotʊrnikɛm
ɣoɣzal	-	koksal	koʃale	koksal	-	kɔksalɛm
ɣoxo	-	-	-	koxo	koʃʊ	kɔksʊm
kalabrone	-	-	kalabrone	kambɾon	kɐ̃mbɹɐ̃ʊ̃	krabronɛm
ɣɾema	-	-	krɛma	kɾema	-	kramʊm
ɣrapulaɾe	krapulaɾe	-	krapula	kɾapula	kɹapulɐ	krapʊlam
gɹaʃʤnʊ	-	-	-	-	kɹaʃtinʊ	krastɪnʊm
ɣɹɐdeɾɐ	-	-	-	-	kɹɐtɛɾɐ	krateram
ɡratitʃʃo	-	-	ɡratitʃʃo	-	-	kratɪkɪʊm
ɡratikola	-	ɡʁij	ɡratikola	kɾatikula	kɹɐtikulɐ	kratɪkʊlam
ɡratje	ɡratje	-	ɡrata	ɡɾaða	ɡɹadɨ	kratɛm
kreatritʃe	-	kʁeatʁis	kreatritʃe	-	-	krɛatrikɛm
ɣreatuɾə	kreatuɾə	kʁeatyʁ	kreatura	kɾiatuɾa	kɹiɐtuɾɐ	krɛaturam
ɣɹeβɹʊ	-	-	-	-	kɹebɹʊ	krebrʊm
ɣreʤntsə	kredintsə	kʁwajɑ̃s	kredɛntsa	kɾeɛnθja	kɹeɪŋsɐ	kredɛntɪam
ɣreʤβile	kredibil	kʁedibl	kredibile	kɾeiβle	kɹedivɛl	kredɪbɪlɛm
ɣreʤβilidade	kredibilitate	kʁedibilite	kredibilita	kɾeðiβiliðad	kɹedibilidadɨ	kredɪbɪlɪtatɛm
ɣreʤðore	kreditor	kʁeditœʁ	kreditore	kɾeeðoɾ	kɹɨdoɹ	kredɪtorɛm
ɣreʤtritʃe	-	-	kreditritʃe	-	-	kredɪtrikɛm
ɣɹedul	kredul	kʁedyl	krɛdulo	kɾeðulo	kɹɛdulʊ	kredʊlʊm
ɣremare	-	kʁeme	kremare	kɾemaɾ	-	krɛmarɛ
ɣeβɹɐðuɾɐ	krəpətuɾə	kʁəvyʁ	krepatura	-	kebɹɐduɾɐ	krɛpaturam
ɣɾebito	-	-	-	kɾepito	-	krɛpɪtʊm
ɣɹedɐ	kretə	-	krɛta	kɾeta	kɹɛtɐ	kretam
ðʃuɾa	tʃuɾa	kʁible	kribrare	kɾiβaɾ	kɹivaɹ	kribrarɛ
ðʃur	tʃur	kʁibl	krivo	kɾiβo	kɹivʊ	kribrʊm
ɣrimine	krimə	kʁim	krimine	kɾimen	kɹimɨ	krimɛn
ɣriminal	kriminal	kʁiminɛl	kriminale	kɾiminal	kɹiminɑl	krimɪnalɛm
gɹiminɐzɐʊ	-	-	-	kɾiminaθjon	kɹiminɐsɐ̃ʊ̃	krimɪnatɪonɛm
ɣriminozo	-	-	kriminozo	-	kɹiminozʊ	krimɪnosʊm
ɣɹinɐ	-	kʁɛ̃	krine	kɾin	kɹinɐ	krinɛm
ɣrispa	krispa	kʁɛpe	krespare	kɾespaɾ	-	krɪsparɛ
ɣɹeʃbʊ	-	kʁɛp	krespo	kɾespo	kɹeʃpʊ	krɪspʊm
ɣrestato	-	-	krestato	-	-	krɪstatʊm
ɣriderio	-	-	kritɛrio	kɾiteɾjo	-	krɪtɛrɪɔn
ɣɾiʤɣo	-	-	-	kɾitiko	kɹitikʊ	krɪtɪkʊm
ɣɾoɣo	-	kʁokys	-	kɾoko	-	krɔkʊm
ɣrotalo	-	-	krɔtalo	kɾotalo	-	krɔtalʊm
kroðʃifero	-	kʁysifɛʁ	krotʃifero	kɾuθifeɾo	kɹusifɨɾʊ	krʊkɪfɛrʊm
ɣrudele	-	kʁyɛl	krudɛle	kɾuel	kɹuɛl	krudelɛm
ɣʁyode	-	kʁyote	krudelta	kɾuelðad	kɹuɨldadɨ	krudelɪtatɛm
ɣruʤda	-	-	krudita	-	-	krudɪtatɛm
ɣrunta	krunta	-	kruentare	kɾuentaɾ	kɹueɪŋtaɹ	krʊɛntarɛ
ɣruento	krunt	-	kruɛnto	kɾuɛnto	kɹueɪŋtʊ	krʊɛntʊm
ɣɾuoɾ	-	kʁyɔʁ	-	kɾuoɾ	kɹuoɹ	krʊorɛm
ɣrdə	krustə	kʁut	-	kostɾa	kɹɔʃtɐ	krʊstam
ɣɹɨʃtaɹ	-	kʁute	-	-	kɹɨʃtaɹ	krʊstarɛ
ɣrtos	krustos	kʁutø	krostozo	kostɾoso	kɹuʃtozʊ	krʊstosʊm
ɣrostolo	-	-	krɔstolo	-	-	krustʊlʊm
ɣuβiɣulo	-	-	-	kuβikulo	-	kʊbɪkʊlʊm
ɣuvil	-	-	-	kuβil	kuvil	kʊbilɛ
ɣovare	-	kuve	kovare	-	-	kʊbarɛ
ɣoɣoʎa	-	kykyl	kokɔlla	koɣuʎa	-	kʊkʊllam
ɣuɣ	kukuj	kul	kɔɡolo	koɣoʎo	kuɡulʊ	kʊkʊllʊm
ɣuɣu	-	kuku	kukulo	-	-	kʊkulʊm
ɣoɣomero	kukumər	kɔ̃kɔ̃bʁ	kokomero	koɣombɾo	kuɡombɹʊ	kʊkʊmɛrɛm
ɣuɣurbita	kurkubetə	kuʁʒ	kukurbita	kukuɾβita	kukuɾəbitɐ	kʊkʊrbɪtam
ɣuj	-	-	kuj	kujo	kuʒʊ	kujʊm
koltritʃe	-	kwɛt	koltritʃe	koltʃa	kolʃɐ	kʊlkɪtam
ɣoltritʃe	-	-	koltritʃe	-	-	kʊlkɪtram
ɣuze	-	kuzɛ̃	-	-	-	kʊlɪkɛm
ɣylineʁ	-	kylinɛʁ	-	-	-	kʊlinarɪʊm
ɣolmo	-	-	kulmo	kolmo	kolmʊ	kʊlmʊm
kulpə	kulpə	kulp	kolpa	kulpa	kuwpɐ	kʊlpam
ɣulbaɾ	-	-	-	kulpaɾ	kuwpaɹ	kʊlparɛ
ɣolteʎo	-	kuto	koltɛllo	kutʃiʎo	kutɛlʊ	kʊltɛllʊm
koltro	-	kutʁ	koltro	-	kuwtɹʊ	kʊltrʊm
kultore	-	-	kultore	kultoɾ	kuwtoɹ	kʊltorɛm
ɣult	kult	kylt	kulto	kulto	kuwtʊ	kʊltʊm
ɣombɐ	-	kɔ̃b	komba	-	kombɐ	kʊmbam
miɲʊ	-	-	kumino	komino	kumiɲʊ	kʊminʊm
mulare	-	kɔ̃ble	kumulare	kumulaɾ	kumulaɹ	kʊmʊlarɛ
ɣuna	-	-	kulla	kuna	-	kunam
ɣuɲaɾ	ɨnkuja	koɲe	konjare	kuɲaɾ	kũɲaɹ	kʊnɛarɛ
ɣono	-	kɔ̃	konno	koɲo	konɐ	kʊnnʊm
ɣubiʤda	-	kypidite	kupidita	-	-	kʊpɪdɪtatɛm
kybid	-	kypid	-	-	-	kʊpɪdʊm
zibʁe	-	sipʁɛ	tʃiprɛsso	θipɾes	-	kʊprɛssʊm
ɣubriɣo	kupru	kyivʁ	kupriko	koβɾe	kɔbɹɨ	kuprʊm
ɣura	kuɾə	kyʁ	kura	kuɾa	kuɾɐ	kuram
ɣuɾəðuɾə	kuɾətuɾə	-	kuratura	-	-	kuraturam
ɣurare	kuɾa	kyʁe	kurare	kuɾaɾ	kuɾaɹ	kurarɛ
ɣuʁiɣulʊ	-	-	kurrikolo	kurikulo	kuʁikulʊ	kʊrrɪkʊlʊm
ɣors	kurs	kuʁ	korso	koɾso	koɾəsʊ	kʊrsʊm
skortare	skurta	ekuʁte	skortare	koɾtaɾ	kuɾətaɹ	kʊrtarɛ
ɣuɾuw	-	-	-	-	kuɾuw	kʊrulɛm
ɣurvare	-	-	kurvare	kuɾβaɾ	kuɾəvaɹ	kʊrwarɛ
ɣoɾβo	-	-	-	koɾβo	-	kʊrwʊm
ɣosɣoxo	-	-	-	koskoxo	-	kʊskɔlɪʊm
ziɲ	-	siɲ	tʃiɲɲo	θisne	siʒnɨ	kyŋnʊm
ðʃimaza	-	-	tʃimaza	-	-	kymatɪʊm
ɣombɐ	-	-	-	-	kombɐ	kymbam
θimbalo	-	sɛ̃bal	tʃimbalo	θimbalo	-	kymbalʊm
ðʃibero	-	-	tʃipɛro	-	-	kyperʊm
θiʤzo	-	sitiz	-	θitiso	-	kytɪsʊm
demʊ	-	-	-	-	demʊ	daɪmɔnɛm
demoniaɣo	-	-	-	demoniako	-	daɪmɔnɪakʊm
ðɨmonikʊ	-	-	demɔniko	-	dɨmonikʊ	daɪmɔnɪkʊm
demonjo	-	demɔ̃	demɔnio	demonjo	dɨmɔnjʊ	daɪmɔnɪʊm
dane	-	dane	dannato	-	-	damnatʊm
dana	damna	dane	dannare	daɲaɾ	dɐnaɹ	damnarɛ
daɲoso	dəunos	-	dannozo	daɲoso	dɐnozʊ	damnosʊm
dadʊ	-	de	dato	daðo	dadʊ	datʊm
datə	datə	dat	data	daða	dadɐ	data
deambulatsione	-	deɑ̃bylasjɔ̃	deambulatsione	deambulaθjon	diɐ̃mbulɐsɐ̃ʊ̃	dɛambʊlatɪonɛm
doʁe	-	doʁe	dorare	doɾaɾ	duwɾaɹ	dɛaʊrarɛ
ðɨβɐɣaɹ	-	-	-	-	dɨbɐkaɹ	debakkʰari
debeʎare	-	-	debellare	deβelaɾ	-	debɛllarɛ
dovere	-	dəvwaʁ	dovere	deβeɾ	dɨveɹ	deberɛ
deβiliðad	-	-	-	deβiliðad	-	debɪlɪtatɛm
debilide	-	debilite	-	deβilitaɾ	-	debɪlɪtarɛ
debladeʁe	-	deblateʁe	-	-	-	dɛblatɛrarɛ
deɣalvadzione	-	-	dekalvatsione	dekalβaθjon	dɨkɑlvɐsɐ̃ʊ̃	dekalwatɪonɛm
dedʃedere	-	desede	detʃedere	-	-	dekedɛrɛ
dedʃempeda	-	-	detʃempeda	-	-	dɛkɛmpɛdam
dedʃedʤvo	-	desɛptif	detʃettivo	-	-	dɛkɛptiwʊm
deθedoɾjo	-	-	detʃettɔrio	deθepptoɾjo	-	dɛkɛptorɪʊm
ðeðʃernere	-	desɛʁne	detʃɛrnere	-	-	dekɛrnɛrɛ
ʤðʃevole	-	-	ditʃevole	-	-	dɛkɪbɪlɛm
ðeðʃimale	zetʃimal	desimal	detʃimale	deθimal	dɨsimɑl	dɛkɪmalɛm
desimasjo	-	desimasjɔ̃	detʃimatsione	-	-	dɛkɪmatɪonɛm
ðeðʃima	detʃima	desime	detʃimare	djeθmaɾ	dizimaɹ	dɛkɪmarɛ
ðjeθmo	-	dim	dɛtʃimo	djeθmo	dizimʊ	dɛkɪmʊm
desəvwaʁ	-	desəvwaʁ	-	deθepθjonaɾ	dɨsɨpsiunaɹ	dekɪpɛrɛ
deklama	-	deklame	deklamare	deklamaɾ	dɨklɐmaɹ	deklamarɛ
deklina	deklina	dekline	deklinare	deklinaɾ	dɨklinaɹ	deklinarɛ
deɣliv	-	dekliv	-	-	-	dekliwɛm
deɣodzione	-	dekɔksjɔ̃	dekotsione	dekokθjon	dɨkusɐ̃ʊ̃	dɛkɔktɪonɛm
ðɨɡulaɹ	-	-	-	deɣoʎaɾ	dɨɡulaɹ	dekɔllarɛ
dekorare	-	dekoʁe	dekorare	dekoɾaɾ	dɨkuɾaɹ	dɛkɔrarɛ
deɣoʁʤɣe	-	dekɔʁtike	-	-	-	dekɔrtɪkarɛ
deɣɾemendo	-	-	dekremento	dekɾemɛnto	-	dekremɛntʊm
deɣredale	-	dekʁetal	dekretale	dekɾetal	dɨkɹɨtɑl	dekretalɛm
deɣred	dekret	dekʁɛ	dekrɛto	dekɾeto	dɨkɹɛtʊ	dekretʊm
deɣorrere	-	-	dekɔrrere	dekoreɾse	dɨkuʁeɹ	dekʊrrɛrɛ
ðɨɣɨ	-	-	-	-	dɨkusɨ	dɛkʊssɛm
ðɨɣaɹ	-	-	-	-	dɨkusaɹ	dɛkʊssarɛ
deda	deda	-	-	-	-	dedɛrɛ
dedyɣzjo	deduktsie	dedyksjɔ̃	dedutsione	deðukθjon	dɨdusɐ̃ʊ̃	dedʊktɪonɛm
defetsione	-	defɛksjɔ̃	defetsione	defekθjon	dɨfɛsɐ̃ʊ̃	defɛktɪonɛm
defɑz	-	defɑ̃s	difeza	defɛnsa	defezɐ	defɛnsam
